codigo,nombre,carrera,semestre,tipo,seccion
CUR001,Matemática Básica,Ingeniería en Sistemas,1,obligatorio,A
CUR001,Matemática Básica,Ingeniería en Sistemas,1,obligatorio,B
CUR001,Matemática Básica,Ingeniería en Sistemas,1,obligatorio,C
CUR002,Comunicación y Lenguaje,Ingeniería en Sistemas,1,obligatorio,A
CUR003,Introducción a la Ingeniería,Ingeniería en Sistemas,1,obligatorio,A
CUR004,Lógica de Programación,Ingeniería en Sistemas,1,obligatorio,A
CUR005,Matemática I,Ingeniería en Sistemas,2,obligatorio,A
CUR005,Matemática I,Ingeniería en Sistemas,2,obligatorio,B
CUR005,Matemática I,Ingeniería en Sistemas,2,obligatorio,C
CUR005,Matemática I,Ingeniería en Sistemas,2,obligatorio,D
CUR006,Estadística I,Ingeniería en Sistemas,2,obligatorio,A
CUR007,Programación I,Ingeniería en Sistemas,2,obligatorio,A
CUR007,Programación I,Ingeniería en Sistemas,2,obligatorio,B
CUR008,Física General,Ingeniería en Sistemas,2,obligatorio,A
CUR009,Matemática II,Ingeniería en Sistemas,3,obligatorio,A
CUR010,Estadística II,Ingeniería en Sistemas,3,obligatorio,A
CUR011,Programación II,Ingeniería en Sistemas,3,obligatorio,A
CUR012,Física Aplicada,Ingeniería en Sistemas,3,obligatorio,A
CUR013,Matemática III,Ingeniería en Sistemas,4,obligatorio,A
CUR014,Programación III,Ingeniería en Sistemas,4,obligatorio,A
CUR015,Contabilidad I,Ingeniería en Sistemas,4,obligatorio,A
CUR016,Física Eléctrica,Ingeniería en Sistemas,4,obligatorio,A
CUR017,Investigación de Operaciones I,Ingeniería en Sistemas,5,obligatorio,A
CUR018,Estructura de Datos I,Ingeniería en Sistemas,5,obligatorio,A
CUR019,Organización Empresarial,Ingeniería en Sistemas,5,obligatorio,A
CUR020,Redes de Computadoras,Ingeniería en Sistemas,5,obligatorio,A
CUR021,Matemática IV,Ingeniería en Sistemas,6,obligatorio,A
CUR022,Estructura de Datos II,Ingeniería en Sistemas,6,obligatorio,A
CUR023,Organización y Métodos,Ingeniería en Sistemas,6,obligatorio,A
CUR024,Teoría de Sistemas,Ingeniería en Sistemas,6,obligatorio,A
CUR025,Investigación de Operaciones II,Ingeniería en Sistemas,7,obligatorio,A
CUR026,Base de Datos I,Ingeniería en Sistemas,7,obligatorio,A
CUR027,Ingeniería Económica,Ingeniería en Sistemas,7,obligatorio,A
CUR028,Fundamentos de Sistemas Operativos,Ingeniería en Sistemas,7,obligatorio,A
CUR029,Simulación,Ingeniería en Sistemas,8,obligatorio,A
CUR030,Base de Datos II,Ingeniería en Sistemas,8,obligatorio,A
CUR031,Costos I,Ingeniería en Sistemas,8,obligatorio,A
CUR032,Lenguajes de Programación,Ingeniería en Sistemas,8,obligatorio,A
CUR033,Administración de Proyectos,Ingeniería en Sistemas,9,obligatorio,A
CUR034,Auditoría Informática,Ingeniería en Sistemas,9,obligatorio,A
CUR035,Sistemas Operativos,Ingeniería en Sistemas,9,obligatorio,A
CUR036,Inteligencia Artificial,Ingeniería en Sistemas,9,optativo,A
CUR037,Ética Profesional,Ingeniería en Sistemas,10,obligatorio,A
CUR038,Administración de Centros de Cómputo,Ingeniería en Sistemas,10,obligatorio,A
CUR039,Seminario de Sistemas,Ingeniería en Sistemas,10,obligatorio,A
CUR040,Tópicos Avanzados en Informática,Ingeniería en Sistemas,10,optativo,A
CIV001,Matemática Básica 1,Ingeniería Civil,1,obligatorio,A
CIV001,Matemática Básica 1,Ingeniería Civil,1,obligatorio,B
CIV001,Matemática Básica 1,Ingeniería Civil,1,obligatorio,C
CIV002,Matemática Básica 2,Ingeniería Civil,1,obligatorio,A
CIV002,Matemática Básica 2,Ingeniería Civil,1,obligatorio,B
CIV003,Técnicas de Estudio e Investigación,Ingeniería Civil,1,obligatorio,A
CIV004,Topografía 1,Ingeniería Civil,2,obligatorio,A
CIV005,Física 1,Ingeniería Civil,2,obligatorio,A
CIV006,Topografía 2,Ingeniería Civil,3,obligatorio,A
CIV007,Química General,Ingeniería Civil,3,obligatorio,A
CIV008,Resistencia de Materiales 1,Ingeniería Civil,4,obligatorio,A
CIV009,Resistencia de Materiales 2,Ingeniería Civil,5,obligatorio,A
CIV010,Materiales de Construcción 1,Ingeniería Civil,4,obligatorio,A
CIV011,Materiales de Construcción 2,Ingeniería Civil,5,obligatorio,A
CIV012,Mecánica de Suelos 1,Ingeniería Civil,5,obligatorio,A
CIV013,Concreto Armado 1,Ingeniería Civil,6,obligatorio,A
CIV014,Hidrología,Ingeniería Civil,6,obligatorio,A
CIV015,Hidráulica,Ingeniería Civil,7,obligatorio,A
CIV016,Vías Terrestres 1,Ingeniería Civil,7,obligatorio,A
CIV017,Análisis Estructural,Ingeniería Civil,7,obligatorio,A
CIV018,Diseño Estructural 1,Ingeniería Civil,8,obligatorio,A
CIV019,Diseño Estructural 2,Ingeniería Civil,9,obligatorio,A
CIV020,Cimentaciones 1,Ingeniería Civil,8,obligatorio,A
CIV021,Cimentaciones 2,Ingeniería Civil,9,obligatorio,A
CIV022,Prácticas Finales,Ingeniería Civil,10,obligatorio,A
CIV023,Seminario de Investigación,Ingeniería Civil,10,obligatorio,A
CIV024,Gestión de Proyectos,Ingeniería Civil,10,obligatorio,A
CIV025,Ingeniería de Tránsito,Ingeniería Civil,10,obligatorio,A
CIV026,Vías Terrestres 2,Ingeniería Civil,10,obligatorio,A
CIV027,Urbanismo,Ingeniería Civil,10,optativo,A
CIV028,Gestión de Desastres,Ingeniería Civil,10,optativo,A
CIV029,Aguas Subterráneas,Ingeniería Civil,10,optativo,A
CIV030,Obras Hidráulicas,Ingeniería Civil,10,optativo,A
IND001,Matemática Básica 1,Ingeniería Industrial,1,obligatorio,A
IND002,Matemática Básica 2,Ingeniería Industrial,1,obligatorio,A
IND003,Informática,Ingeniería Industrial,1,obligatorio,A
IND004,Química General,Ingeniería Industrial,1,obligatorio,A
IND005,Estadística 1,Ingeniería Industrial,2,obligatorio,A
IND006,Física 1,Ingeniería Industrial,2,obligatorio,A
IND006,Física 1,Ingeniería Industrial,2,obligatorio,B
IND007,Estadística 2,Ingeniería Industrial,3,obligatorio,A
IND008,Física 2,Ingeniería Industrial,3,obligatorio,A
IND009,Procesos de Manufactura,Ingeniería Industrial,4,obligatorio,A
IND010,Ingeniería de Métodos,Ingeniería Industrial,5,obligatorio,A
