codigo,registro
CUR001,DOC012
CUR001,DOC050
CUR001,DOC031
CUR002,DOC018
CUR002,DOC045
CUR002,DOC023
CUR003,DOC042
CUR003,DOC045
CUR003,DOC028
CUR004,DOC029
CUR004,DOC034
CUR004,DOC025
CUR005,DOC032
CUR006,DOC028
CUR006,DOC019
CUR006,DOC014
CUR007,DOC020
CUR008,DOC024
CUR008,DOC043
CUR009,DOC001
CUR009,DOC027
CUR010,DOC015
CUR010,DOC039
CUR010,DOC025
CUR011,DOC008
CUR011,DOC007
CUR012,DOC011
CUR012,DOC029
CUR013,DOC022
CUR014,DOC045
CUR015,DOC048
CUR015,DOC013
CUR016,DOC037
CUR017,DOC042
CUR017,DOC002
CUR017,DOC010
CUR018,DOC049
CUR019,DOC039
CUR020,DOC004
CUR020,DOC039
CUR021,DOC012
CUR021,DOC043
CUR022,DOC019
CUR022,DOC013
CUR023,DOC039
CUR023,DOC033
CUR024,DOC004
CUR024,DOC041
CUR024,DOC040
CUR025,DOC044
CUR025,DOC039
CUR026,DOC038
CUR026,DOC020
CUR026,DOC015
CUR027,DOC015
CUR027,DOC038
CUR027,DOC021
CUR028,DOC025
CUR028,DOC044
CUR028,DOC031
CUR029,DOC032
CUR030,DOC045
CUR030,DOC034
CUR030,DOC005
CUR031,DOC047
CUR031,DOC039
CUR032,DOC029
CUR032,DOC030
CUR032,DOC021
CUR033,DOC030
CUR033,DOC026
CUR034,DOC046
CUR034,DOC035
CUR035,DOC039
CUR035,DOC028
CUR035,DOC011
CUR036,DOC015
CUR036,DOC005
CUR036,DOC037
CUR037,DOC017
CUR038,DOC025
CUR039,DOC001
CUR040,DOC042
CIV001,DOC016
CIV001,DOC014
CIV001,DOC009
CIV002,DOC045
CIV003,DOC016
CIV004,DOC005
CIV005,DOC015
CIV005,DOC029
CIV005,DOC042
CIV006,DOC034
CIV006,DOC016
CIV006,DOC003
CIV007,DOC048
CIV007,DOC023
CIV008,DOC049
CIV008,DOC021
CIV009,DOC022
CIV009,DOC046
CIV010,DOC002
CIV010,DOC010
CIV010,DOC005
CIV011,DOC045
CIV011,DOC039
CIV012,DOC046
CIV012,DOC016
CIV013,DOC048
CIV013,DOC040
CIV013,DOC005
CIV014,DOC011
CIV014,DOC042
CIV015,DOC050
CIV015,DOC045
CIV015,DOC002
CIV016,DOC037
CIV016,DOC025
CIV017,DOC022
CIV017,DOC031
CIV018,DOC006
CIV018,DOC016
CIV019,DOC025
CIV019,DOC014
CIV019,DOC028
CIV020,DOC015
CIV021,DOC015
CIV022,DOC005
CIV022,DOC050
CIV022,DOC008
CIV023,DOC017
CIV024,DOC050
CIV025,DOC004
CIV025,DOC033
CIV026,DOC014
CIV026,DOC021
CIV026,DOC016
CIV027,DOC011
CIV027,DOC038
CIV027,DOC019
CIV028,DOC001
CIV029,DOC032
CIV029,DOC048
CIV030,DOC028
CIV030,DOC009
IND001,DOC037
IND001,DOC046
IND002,DOC008
IND002,DOC011
IND002,DOC021
IND003,DOC039
IND003,DOC042
IND004,DOC049
IND004,DOC043
IND004,DOC044
IND005,DOC027
IND006,DOC023
IND006,DOC046
IND007,DOC009
IND007,DOC013
IND007,DOC018
IND008,DOC043
IND009,DOC043
IND009,DOC028
IND010,DOC046
IND010,DOC019
IND011,DOC020
IND011,DOC023
IND012,DOC012
IND012,DOC027
IND012,DOC014
IND013,DOC023
IND014,DOC007
IND014,DOC033
IND015,DOC003
IND015,DOC049
IND016,DOC027
IND016,DOC023
IND017,DOC022
IND018,DOC047
IND018,DOC020
IND019,DOC029
IND020,DOC027
IND020,DOC030
IND021,DOC040
IND021,DOC046
IND022,DOC020
IND022,DOC001
IND023,DOC033
IND023,DOC013
IND024,DOC005
IND024,DOC047
CUR300,DOC030
CUR300,DOC032
CUR300,DOC044
CUR301,DOC031
CUR302,DOC009
CUR303,DOC045
CUR304,DOC017
CUR304,DOC042
CUR305,DOC010
CUR306,DOC017
CUR307,DOC013
CUR308,DOC003
CUR308,DOC019
CUR309,DOC043
CUR310,DOC043
CUR311,DOC044
CUR311,DOC003
CUR312,DOC028
CUR312,DOC040
CUR313,DOC028
CUR314,DOC048
CUR315,DOC040
CUR315,DOC050
CUR315,DOC002
CUR316,DOC040
CUR316,DOC033
CUR316,DOC005
CUR317,DOC042
CUR317,DOC043
CUR318,DOC047
CUR319,DOC002
CUR319,DOC014
CUR319,DOC026
CUR320,DOC039
CUR320,DOC003
CUR320,DOC029
CUR321,DOC015
CUR322,DOC008
CUR322,DOC015
CUR322,DOC043
CUR323,DOC028
CUR323,DOC031
CUR324,DOC022
CUR324,DOC050
CUR325,DOC032
CUR326,DOC047
CUR326,DOC007
CUR327,DOC019
CUR328,DOC005
CUR329,DOC026
CUR330,DOC008
CUR330,DOC004
CUR331,DOC018
CUR331,DOC042
CUR331,DOC008
CUR332,DOC031
CUR333,DOC010
CUR333,DOC014
CUR334,DOC006
CUR334,DOC016
CUR334,DOC031
CUR335,DOC035
CUR336,DOC047
CUR336,DOC022
CUR336,DOC004
CUR337,DOC037
CUR337,DOC043
CUR337,DOC003
CUR338,DOC025
CUR339,DOC006
CUR339,DOC029
CUR340,DOC009
CUR340,DOC005
CUR340,DOC047
CUR341,DOC001
CUR341,DOC031
CUR342,DOC047
CUR343,DOC014
CUR344,DOC033
CUR345,DOC045
CUR346,DOC011
CUR346,DOC042
CUR346,DOC030
CUR347,DOC044
CUR348,DOC026
CUR348,DOC029
CUR349,DOC038
CUR349,DOC046
CUR350,DOC048
CUR350,DOC012
